Pepsi,Beverage,Pepsi,500,mL,Blue,Can,"Refreshing"
Sprite,Beverage,Coca-Cola,750,mL,Green,Bottle,"Lemon-Lime"
Orange Juice,Beverage,Tropicana,1,L,Orange,Bottle,"Pulp-Free"
Mountain Dew,Beverage,PepsiCo,355,mL,Yellow,Can,"Citrus"
Coffee,Hot Beverage,Starbucks,12,oz,Brown,Cup,"Medium Roast"
Iced Tea,Cold Beverage,Lipton,5,L,Transparent,Bottle,"Sweetened"
Water,Beverage,Evian,500,mL,Clear,Bottle,"Natural Spring"
Red Bull,Energy Drink,Red Bull,250,mL,Silver,Can,"High Energy"
Milk,Dairy,Amul,1,L,White,Carton,"Full Fat"
Fruit Punch,Non-Alcoholic Punch,Ocean Spray,64,oz,Multi-color,Bottle,"Mixed Fruit"
